date,project_id,title
18 Jan 2018,9980,Received by GEF
02 Apr 2018,9980,Project Approved for Implementation
,9980,Project closed
16 Feb 2018,10003,Received by GEF
02 Apr 2018,10003,Project Approved for Implementation
,10003,Project closed
06 Feb 2018,9992,Received by GEF
15 May 2018,9992,Project Approved for Implementation
,9992,Project closed
18 Jan 2018,9981,Received by GEF
02 Apr 2018,9981,Project Approved for Implementation
,9981,Project closed
06 Feb 2018,9991,Received by GEF
15 May 2018,9991,Project Approved for Implementation
,9991,Project closed
16 Jan 2018,9979,Received by GEF
20 Jun 2018,9979,Preparation Grant Approved
20 Jun 2018,9979,Concept Approved
,9979,Project Approved for Implementation
,9979,Project closed
16 Jan 2018,9978,Received by GEF
02 Feb 2018,9978,Preparation Grant Approved
02 Feb 2018,9978,Concept Approved
,9978,Project Approved for Implementation
26 Oct 2017,9947,Received by GEF
,9978,Project closed
02 Feb 2018,9947,Concept Approved
13 Jun 2018,9947,Project Approved for Implementation
,9947,Project closed
16 Nov 2017,9955,Received by GEF
16 Jan 2018,9955,Preparation Grant Approved
16 Jan 2018,9955,Concept Approved
,9955,Project Approved for Implementation
,9955,Project closed
16 Feb 2018,10002,Received by GEF
28 Mar 2018,10002,Preparation Grant Approved
28 Mar 2018,10002,Concept Approved
,10002,Project Approved for Implementation
,10002,Project closed
06 Sep 2017,9915,Received by GEF
16 Nov 2017,9915,Project Approved for Implementation
,9915,Project closed
21 Oct 2017,9942,Received by GEF
05 Jun 2018,9942,Preparation Grant Approved
05 Jun 2018,9942,Concept Approved
,9942,Project Approved for Implementation
,9942,Project closed
14 Sep 2017,9926,Received by GEF
25 Sep 2017,9926,Preparation Grant Approved
25 Sep 2017,9926,Concept Approved
,9926,Project Approved for Implementation
,9926,Project closed
