title,project_id,date
Received by GEF,4110,15 Sep 2009
Concept Approved,4110,30 Nov 2009
Project Approved for Implementation,4110,28 Apr 2010
Project closed,4110,01 May 2014
,4110,
Received by GEF,5488,16 Jul 2013
Concept Approved,5488,18 Sep 2013
Project Approved for Implementation,5488,18 Sep 2013
Project closed,5488,
,5488,
Received by GEF,2387,10 Feb 2004
Concept Approved,2387,01 Nov 2003
Project Approved for Implementation,2387,16 Apr 2004
Project closed,2387,24 Mar 2013
,2387,
Received by GEF,5519,09 Aug 2013
Received by GEF,5631,01 Nov 2013
Project Approved for Implementation,5519,10 Oct 2013
Project closed,5519,
Project Approved for Implementation,5631,12 Dec 2013
Project closed,5631,
Received by GEF,10030,12 Mar 2018
,5519,
Received by GEF,5564,23 Aug 2013
,5631,
Project Approved for Implementation,10030,02 Apr 2018
Project closed,10030,
Project Approved for Implementation,5564,26 Aug 2013
Project closed,5564,
,10030,
,5564,
project_documents,approval_fiscal_year,total_cost,status,funding_source,co_financing_total,executing_agencies,project_preparation_grant_amount,region,gef_project_grant,gef_agency_fees,project_summary,country,timeline,implementing_agencies,gef_period,focal_areas,project_title,project_id,project_type
"[{'title': 'TNC%20PIF_final_140909.doc', 'type': 'application/msword; length=189952', 'text': 'PIF Document for WPI', 'link': 'https://www.thegef.org/sites/default/files/project_documents/TNC%2520PIF_final_140909.doc'}, {'title': '10-8-2009%20ID4110%20STAP%20Screen%20Report.pdf', 'type': 'application/pdf; length=38924', 'text': 'STAP Screening Report', 'link': 'https://www.thegef.org/sites/default/files/project_documents/10-8-2009%2520ID4110%2520STAP%2520Screen%2520Report.pdf'}, {'title': '03-18-2010%20ID4110%20Project%20Doc.pdf', 'type': 'application/pdf; length=231332', 'text': 'Project Document UNDP(CEO Endorsement - Rev)', 'link': 'https://www.thegef.org/sites/default/files/project_documents/03-18-2010%2520ID4110%2520Project%2520Doc.pdf'}, {'title': '03-18-2010%20UNEP%20Project%20Doc.doc', 'type': 'application/msword; length=842752', 'text': 'Project Document-UNEP (CEO Ensorsement-rev)', 'link': 'https://www.thegef.org/sites/default/files/project_documents/03-18-2010%2520UNEP%2520Project%2520Doc.doc'}, {'title': '03-25-2010%20ID4110%20corrected%20Revised%20Request%20for%20CEO%20Endorsement.pdf', 'type': 'application/pdf; length=408052', 'text': 'Request for CEO Endorsement (with footnote)', 'link': 'https://www.thegef.org/sites/default/files/project_documents/03-25-2010%2520ID4110%2520corrected%2520Revised%2520Request%2520for%2520CEO%2520Endorsement.pdf'}]",2010,"29,200,000.00 USD",Project Approved,GEF Trust Fund,"4,200,000 USD",NATIONAL PARTNERS,0 USD,,"25,000,000 USD","2,500,000 USD","To provide support for the preparation of  NCs to the UNFCCC, which comply with Convention reporting requirements and national development needs in 50 Non-Annex Parties.",Global,"[{'date': '15 Sep 2009', 'title': 'Received by GEF'}, {'date': '30 Nov 2009', 'title': 'Concept Approved'}, {'date': '28 Apr 2010', 'title': 'Project Approved for Implementation'}, {'date': '01 May 2014', 'title': 'Project closed'}]",United Nations Development Programme,GEF - 4,Climate Change,National Communications to the UNFCCC,4110,Full-size Project
"[{'title': '8-23-13_South_Sudan_NCSA_5488_Resubmission.doc', 'type': 'application/msword; length=386560', 'text': 'PIF Document m NCSA resubmission', 'link': 'https://www.thegef.org/sites/default/files/project_documents/8-23-13_South_Sudan_NCSA_5488_Resubmission.doc'}]",2014,"300,000.00 USD",Project Approved,GEF Trust Fund,"100,000 USD",Ministry of Environment and Sustainable Development,0 USD,,"200,000 USD","19,000 USD","To take stock of South Sudan’s existing capacities and specific capacity needs and priorities, as it moves to implement multilateral environmental Conventions to which it is a signatory.",South Sudan,"[{'date': '16 Jul 2013', 'title': 'Received by GEF'}, {'date': '18 Sep 2013', 'title': 'Concept Approved'}, {'date': '18 Sep 2013', 'title': 'Project Approved for Implementation'}, {'date': None, 'title': 'Project closed'}]",United Nations Development Programme,GEF - 5,,National Capacity Self-Assessment (NCSA) for Global Environmental Management in South Sudan,5488,Enabling Activity
"[{'title': 'ID5519__INC_South_Sudan_Request_for_EA_1Aug2013.pdf', 'type': 'application/pdf; length=1110592', 'text': 'PIF Document for WPI', 'link': 'https://www.thegef.org/sites/default/files/project_documents/ID5519__INC_South_Sudan_Request_for_EA_1Aug2013_0.pdf'}]",2014,"600,000.00 USD",Project Approved,GEF Trust Fund,"100,000 USD",Ministry of Environment and Sustainable Development,0 USD,,"500,000 USD","47,500 USD",To assist South Sudan in the preparation of its Initial National Communication (INC) for the implementation of the obligations under the UNFCCC.,South Sudan,"[{'date': '09 Aug 2013', 'title': 'Received by GEF'}, {'date': '10 Oct 2013', 'title': 'Project Approved for Implementation'}, {'date': None, 'title': 'Project closed'}]",United Nations Development Programme,GEF - 5,Climate Change,Initial National Communication to the UNFCCC,5519,Enabling Activity
