implementing_agencies,project_summary,region,focal_areas,project_type,co_financing_total,gef_agency_fees,country,project_title,executing_agencies,project_id,approval_fiscal_year,project_preparation_grant_amount,gef_project_grant,funding_source,status,gef_period,total_cost,project_documents,timeline
United Nations Environment Programme,"To enable country Parties to collect necessary biophysical, socioeconomic data, establish sound reporting and monitoring systems at national level and report against the UNCCD Strategy",,Land Degradation,Enabling Activity,"362,000 USD","184,345 USD",Global,GEF Support to UNCCD 2018 National Reporting Process – Umbrella II,National Executing Agencies,9980,,0 USD,"1,940,480 USD",GEF Trust Fund,Project Approved,GEF - 6,"2,302,480.00 USD","[{'type': 'application/pdf; length=1259741', 'text': 'Revised EA Doc', 'title': '2-21-18_-_Revised_EA_Doc.pdf', 'link': 'https://www.thegef.org/sites/default/files/project_documents/2-21-18_-_Revised_EA_Doc.pdf'}, {'type': 'application/pdf; length=109774', 'text': 'Review Sheet (PDF)', 'title': '9980-2018-03-30-100520-GEFReviewSheetGEF61EA.pdf', 'link': 'https://www.thegef.org/sites/default/files/project_documents/9980-2018-03-30-100520-GEFReviewSheetGEF61EA.pdf'}]","[{'title': 'Received by GEF', 'date': '18 Jan 2018'}, {'title': 'Project Approved for Implementation', 'date': '02 Apr 2018'}, {'title': 'Project closed', 'date': None}]"
United Nations Environment Programme,"To support biodiversity conservation in the OECS countries (Antigua and Barbuda, Dominica, Grenada, and St. Lucia) through enhanced political will and capacity building for improved management of marine protected areas (MPAs), marine management areas (MMAs) and protected areas (PAs).",,Biodiversity,Medium-size Project,"1,750,000 USD","177,336 USD",Regional,Advancing Conservation in the Countries of the Organisation of Eastern Caribbean States (OECS),Conservation Council of Nations (CCN),9979,,"50,000 USD","1,866,700 USD",GEF Trust Fund,Concept Approved,GEF - 6,"3,666,700.00 USD",,"[{'title': 'Received by GEF', 'date': '16 Jan 2018'}, {'title': 'Preparation Grant Approved', 'date': '20 Jun 2018'}, {'title': 'Concept Approved', 'date': '20 Jun 2018'}, {'title': 'Project Approved for Implementation', 'date': None}, {'title': 'Project closed', 'date': None}]"
United Nations Environment Programme,"To enable country Parties to collect necessary biophysical, socioeconomic data, establish sound reporting and monitoring systems at national level and report against the UNCCD Strategy",,Land Degradation,Enabling Activity,"336,000 USD","188,265 USD",Global,GEF Support to UNCCD 2018 National Reporting Process  - Umbrella I,National Focal Points,9981,,0 USD,"1,981,737 USD",GEF Trust Fund,Project Approved,GEF - 6,"2,317,737.00 USD","[{'type': 'application/pdf; length=1207779', 'text': 'EA req - rev', 'title': 'ID9981___GEF_6_UNCCD_EA_umbrella_I_15.02.2018_clean.pdf', 'link': 'https://www.thegef.org/sites/default/files/project_documents/ID9981___GEF_6_UNCCD_EA_umbrella_I_15.02.2018_clean.pdf'}, {'type': 'application/pdf; length=110216', 'text': 'Review Sheet (PDF)', 'title': '9981-2018-02-21-131021-GEFReviewSheetGEF61EA.pdf', 'link': 'https://www.thegef.org/sites/default/files/project_documents/9981-2018-02-21-131021-GEFReviewSheetGEF61EA.pdf'}]","[{'title': 'Received by GEF', 'date': '18 Jan 2018'}, {'title': 'Project Approved for Implementation', 'date': '02 Apr 2018'}, {'title': 'Project closed', 'date': None}]"
United Nations Environment Programme,: Ratification and early implementation of the Minamata Convention contributes to the protection of   human health and the environment from the risks posed by unintentional and intentional emissions and releases as well as unsound use and management of mercury,,Chemicals and Waste,Enabling Activity,0 USD,"14,250 USD",Belize,Development of Minamata Initial Assessments (MIA) in the Caribbean (Belize),The Basel Convention Regional Centre for Training and Technology Transfer for the Caribbean (BCRC-Caribbean),9991,,0 USD,"150,000 USD",GEF Trust Fund,Project Approved,GEF - 6,"150,000.00 USD",,"[{'title': 'Received by GEF', 'date': '06 Feb 2018'}, {'title': 'Project Approved for Implementation', 'date': '15 May 2018'}, {'title': 'Project closed', 'date': None}]"
United Nations Environment Programme,"To support Swaziland’s to establish a comprehensive transparency framework for Monitoring, Reporting and Verification (MRV) of climate actions as well as report on NDC under the Paris Agreement",,Climate Change,Medium-size Project,"270,000 USD","95,000 USD",Swaziland,"Capacity Building for Enhanced Transparency in Climate Change  Monitoring, Reporting and Verification", Ministry of Tourism and Environmental Affairs (MTEA)   ,10002,,"35,000 USD","1,000,000 USD",Capacity-building Initiative for Transparency,Concept Approved,GEF - 6,"1,305,000.00 USD","[{'type': 'application/pdf; length=1254244', 'text': 'PIF Document', 'title': 'PIF_MSP_CBIT_Swaziland_9March18.pdf', 'link': 'https://www.thegef.org/sites/default/files/project_documents/PIF_MSP_CBIT_Swaziland_9March18_0.pdf'}, {'type': 'application/pdf; length=129198', 'text': 'Review Sheet (PDF)', 'title': '10002-2018-03-22-093023-GEFReviewSheetGEF61.pdf', 'link': 'https://www.thegef.org/sites/default/files/project_documents/10002-2018-03-22-093023-GEFReviewSheetGEF61_0.pdf'}]","[{'title': 'Received by GEF', 'date': '16 Feb 2018'}, {'title': 'Preparation Grant Approved', 'date': '28 Mar 2018'}, {'title': 'Concept Approved', 'date': '28 Mar 2018'}, {'title': 'Project Approved for Implementation', 'date': None}, {'title': 'Project closed', 'date': None}]"
United Nations Environment Programme,: Early implementation of the Minamata Convention contributes to the protection of human health and the environment from the risks posed by unintentional and intentional emissions and releases as well as unsound use and management of mercury,,Chemicals and Waste,Enabling Activity,0 USD,"11,875 USD",Marshall Islands,Development of A Minamata Initial Assessment in Marshall Islands,Office of Environmental Planning and Policy Coordination,9992,,0 USD,"125,000 USD",GEF Trust Fund,Project Approved,GEF - 6,"125,000.00 USD",,"[{'title': 'Received by GEF', 'date': '06 Feb 2018'}, {'title': 'Project Approved for Implementation', 'date': '15 May 2018'}, {'title': 'Project closed', 'date': None}]"
United Nations Environment Programme,"Reduce greenhouse gas emissions by supporting market transformations that will enable a doubling of the rate of energy efficiency improvements in buildings by 2030, by linking global market experience, national policy, and local action and capacity building.",,Climate Change,Medium-size Project,"6,116,597 USD","190,000 USD",Global,The SEforALL Building Efficiency Accelerator (BEA): Expanding Local Action and Driving National Change,WRI (World Resource Insitute),9947,,0 USD,"2,000,000 USD",GEF Trust Fund,Project Approved,GEF - 6,"8,116,597.00 USD","[{'type': 'application/rtf; length=311881', 'text': 'Review Sheet', 'title': '9947-2018-06-12-114842-GEFReviewSheetGEF61.rtf', 'link': 'https://www.thegef.org/sites/default/files/project_documents/9947-2018-06-12-114842-GEFReviewSheetGEF61.rtf'}, {'type': 'application/pdf; length=8785540', 'text': 'MSP Request Document', 'title': 'MSP_request_Doc.pdf', 'link': 'https://www.thegef.org/sites/default/files/project_documents/MSP_request_Doc.pdf'}]","[{'title': 'Received by GEF', 'date': '26 Oct 2017'}, {'title': 'Concept Approved', 'date': '02 Feb 2018'}, {'title': 'Project Approved for Implementation', 'date': '13 Jun 2018'}, {'title': 'Project closed', 'date': None}]"
United Nations Environment Programme,"To  enable country Parties to collect necessary biophysical, socioeconomic data, establish sound reporting and monitoring systems at national level and report against the UNCCD Strategy",,Land Degradation,Enabling Activity,"372,000 USD","188,265 USD",Global,GEF Support to UNCCD 2018 National Reporting Process - Umbrella III,PISLM Support Office   and National Focal Points Host institutions of country,10003,,0 USD,"1,981,735 USD",GEF Trust Fund,Project Approved,GEF - 6,"2,353,735.00 USD","[{'type': 'application/pdf; length=1054526', 'text': 'EA Doc Request', 'title': '2-16-18_-_EA_Doc.pdf', 'link': 'https://www.thegef.org/sites/default/files/project_documents/2-16-18_-_EA_Doc.pdf'}, {'type': 'application/pdf; length=101894', 'text': 'Review Sheet (PDF)', 'title': '10003-2018-02-20-113311-GEFReviewSheetGEF61EA.pdf', 'link': 'https://www.thegef.org/sites/default/files/project_documents/10003-2018-02-20-113311-GEFReviewSheetGEF61EA.pdf'}]","[{'title': 'Received by GEF', 'date': '16 Feb 2018'}, {'title': 'Project Approved for Implementation', 'date': '02 Apr 2018'}, {'title': 'Project closed', 'date': None}]"
United Nations Environment Programme,"To strengthen resilience in the landscape surrounding Morne Trois Pitons National Park through participatory forest rehabilitation / restoration, sustainable agricultural practices, and the development of livelihoods options",,Land Degradation,Medium-size Project,"1,925,000 USD","149,766 USD",Dominica,Strengthening Resilience of Agricultural Lands and Forests in Dominica in the Aftermath of Hurricane Maria,PISLM Support Office,9978,,"50,000 USD","1,576,484 USD",GEF Trust Fund,Concept Approved,GEF - 6,"3,551,484.00 USD",,"[{'title': 'Received by GEF', 'date': '16 Jan 2018'}, {'title': 'Preparation Grant Approved', 'date': '02 Feb 2018'}, {'title': 'Concept Approved', 'date': '02 Feb 2018'}, {'title': 'Project Approved for Implementation', 'date': None}, {'title': 'Project closed', 'date': None}]"
United Nations Environment Programme,Argentina complies with the requirements of the transparency framework under the Paris Agreement on Climate Change,,Climate Change,Medium-size Project,"350,000 USD","189,981 USD",Argentina,Strengthening Argentina’s Transparency Framework on GHG Inventories and Mitigation,Ministry of Environment and Sustainable Development,9955,,"50,000 USD","1,999,800 USD",Capacity-building Initiative for Transparency,Concept Approved,GEF - 6,"2,399,800.00 USD","[{'type': 'application/pdf; length=380594', 'text': 'MSP PIF Request Document', 'title': '12-20-17_MSP_PIF_Request_Document.pdf', 'link': 'https://www.thegef.org/sites/default/files/project_documents/12-20-17_MSP_PIF_Request_Document.pdf'}, {'type': 'application/pdf; length=123466', 'text': 'Review Sheet (PDF)', 'title': '9955-2018-01-19-162558-GEFReviewSheetGEF61.pdf', 'link': 'https://www.thegef.org/sites/default/files/project_documents/9955-2018-01-19-162558-GEFReviewSheetGEF61.pdf'}]","[{'title': 'Received by GEF', 'date': '16 Nov 2017'}, {'title': 'Preparation Grant Approved', 'date': '16 Jan 2018'}, {'title': 'Concept Approved', 'date': '16 Jan 2018'}, {'title': 'Project Approved for Implementation', 'date': None}, {'title': 'Project closed', 'date': None}]"
